Date,Close,High,Low,Open,Volume
23/09/2022,42988.33984,44007.82813,42931.70313,43724.63672,1861113
26/09/2022,42478.59766,43611.35938,41968.85547,42535.23438,3063129
27/09/2022,42082.13281,43044.98047,42025.49219,43044.98047,1188951
28/09/2022,42478.59766,42478.59766,41798.94141,41912.21484,1164761
29/09/2022,41912.21484,43044.98047,41912.21484,43044.98047,1037815
30/09/2022,41459.11328,42082.13281,41006.00781,41459.11328,3136402
3/10/2022,39986.51953,41798.94141,39816.60547,41629.02734,1624169
4/10/2022,40382.98828,40722.81641,39363.5,39646.69141,2261549
5/10/2022,40496.26172,40779.45313,40269.71094,40439.625,1640237
6/10/2022,39703.32813,40779.45313,39590.05469,40779.45313,1528298
7/10/2022,37777.63281,39420.14063,36984.69922,39420.14063,3890840
10/10/2022,36871.42188,38344.01563,36305.04297,37664.35547,2411802
11/10/2022,35115.64063,37381.16797,35115.64063,36984.69922,2704360
12/10/2022,36248.40234,36984.69922,35228.91797,35682.02344,2800939
13/10/2022,37664.35547,37664.35547,35512.10938,36305.04297,2942892
14/10/2022,38570.56641,38797.12109,38117.46094,38797.12109,3245692
17/10/2022,37551.08203,38513.92969,37097.97656,38117.46094,2297744
18/10/2022,38344.01563,38513.92969,38117.46094,38513.92969,1597863
19/10/2022,38457.28906,38513.92969,38117.46094,38457.28906,1229559
20/10/2022,39193.58594,39646.69141,38004.1875,38457.28906,2784841
21/10/2022,38513.92969,40043.16016,38513.92969,39193.58594,2568410
24/10/2022,38513.92969,39363.5,37267.89063,39363.5,1543306
25/10/2022,39590.05469,39986.51953,37381.16797,37381.16797,2991270
26/10/2022,39646.69141,39986.51953,38797.12109,39986.51953,1150107
27/10/2022,40609.53906,41289.19531,39250.22266,39929.88281,2291387
28/10/2022,40552.90234,42195.40625,40552.90234,41062.64453,2756093
31/10/2022,41629.02734,41629.02734,41062.64453,41629.02734,1164232
1/11/2022,42478.59766,42478.59766,41515.75,41912.21484,1458557
2/11/2022,41685.66406,42195.40625,40779.45313,41912.21484,2215998
3/11/2022,41345.83594,41572.38672,40779.45313,40779.45313,1332317
4/11/2022,40666.17578,41062.64453,39023.67188,40496.26172,2786108
7/11/2022,40666.17578,41345.83594,40269.71094,40666.17578,3107447
8/11/2022,41119.28125,42478.59766,40552.90234,40779.45313,3988301
9/11/2022,41912.21484,42025.49219,41119.28125,41629.02734,2144843
10/11/2022,41232.55859,41855.57813,40552.90234,41855.57813,2679289
11/11/2022,42761.78906,42761.78906,41345.83594,41345.83594,3410422
14/11/2022,42535.23438,43328.16797,41968.85547,42761.78906,3242514
15/11/2022,42478.59766,43271.53125,40836.09375,42138.76953,3534366
16/11/2022,42535.23438,44177.74219,39816.60547,39816.60547,5861421
17/11/2022,43328.16797,43384.80859,42761.78906,43101.61719,3258757
18/11/2022,43328.16797,43554.72266,41685.66406,42988.33984,2762801
21/11/2022,42478.59766,43328.16797,42478.59766,43328.16797,2162675
22/11/2022,41629.02734,43044.98047,41062.64453,42195.40625,3418191
23/11/2022,41629.02734,41629.02734,41006.00781,41345.83594,3130399
24/11/2022,41345.83594,41912.21484,41062.64453,41629.02734,2003950
25/11/2022,41402.47266,41685.66406,41232.55859,41402.47266,3310667
28/11/2022,43441.44531,43611.35938,41798.94141,42195.40625,4161329
29/11/2022,45197.22656,45197.22656,43044.98047,43044.98047,3014576
30/11/2022,45876.88672,45876.88672,43611.35938,45480.41797,2575295
1/12/2022,45310.50391,46103.4375,44857.39844,45820.24609,2081458
2/12/2022,48142.41016,48142.41016,44914.03906,45253.86719,2431753
5/12/2022,48142.41016,49275.17188,46726.45703,47632.66797,2937950
6/12/2022,45310.50391,48255.6875,45310.50391,48142.41016,2432989
7/12/2022,44460.93359,46443.26563,44177.74219,45310.50391,2806941
8/12/2022,43611.35938,45876.88672,43611.35938,44744.125,4378144
9/12/2022,43781.27344,44857.39844,43668,44404.29297,3089967
12/12/2022,43837.91406,45593.69531,43837.91406,44630.84766,4247490
13/12/2022,44291.01953,44914.03906,44121.10547,44234.37891,3941690
14/12/2022,44630.84766,45140.58984,44460.93359,45140.58984,2200460
15/12/2022,45027.3125,45706.97266,44517.57031,44630.84766,2207699
16/12/2022,45140.58984,46953.01172,44687.48438,45027.3125,6021913
19/12/2022,44857.39844,45876.88672,44744.125,45310.50391,1337437
20/12/2022,44744.125,46443.26563,44744.125,45140.58984,2755033
21/12/2022,44574.20703,46103.4375,44574.20703,46103.4375,1698502
22/12/2022,44914.03906,45933.52344,44914.03906,45027.3125,1942683
23/12/2022,44800.76172,45990.16016,44800.76172,45423.78125,2445701
26/12/2022,44687.48438,45763.60938,44687.48438,44857.39844,2125069
27/12/2022,44800.76172,45593.69531,44687.48438,45423.78125,2108120
28/12/2022,45310.50391,46443.26563,45027.3125,45537.05859,2071924
29/12/2022,45706.97266,46726.45703,45593.69531,46613.17969,2424867
30/12/2022,45310.50391,47066.28516,45310.50391,46953.01172,2667636
3/01/2023,46783.09766,46783.09766,45423.78125,45423.78125,1924144
4/01/2023,46896.37109,46953.01172,46329.99219,46953.01172,1719511
5/01/2023,47576.03125,47576.03125,46726.45703,46896.37109,1904369
6/01/2023,47576.03125,48029.13281,47519.39063,47576.03125,2227297
9/01/2023,49218.53516,49218.53516,48029.13281,48595.51563,2943423
10/01/2023,49445.08984,50917.67969,48822.07031,48822.07031,3881659
11/01/2023,48199.05078,49445.08984,48199.05078,49445.08984,2318226
12/01/2023,48029.13281,48255.6875,47462.75391,48255.6875,3469394
13/01/2023,48595.51563,48991.98438,48255.6875,48255.6875,1451319
16/01/2023,49445.08984,50124.74609,48708.79297,48708.79297,1825625
17/01/2023,50634.48828,50634.48828,49445.08984,50124.74609,1138101
18/01/2023,50974.31641,51540.69922,50634.48828,50974.31641,1560785
19/01/2023,52673.46094,54372.60547,49558.36328,50691.125,3137108
27/01/2023,52673.46094,53579.67188,51823.89063,52673.46094,2799879
30/01/2023,50917.67969,52390.26953,50861.04297,52163.71875,1845046
31/01/2023,52050.44141,52050.44141,49728.27734,50917.67969,2707892
